Man Utd,2,1,Leicester City
Newcastle United,1,2,Spurs
Bournemouth,2,0,Cardiff City
Fulham,0,2,Crystal Palace
Huddersfield Town,0,3,Chelsea
Watford,2,0,Brighton
Wolves,2,2,Everton
Liverpool,4,0,West Ham
Southampton,0,0,Burnley
Arsenal,0,2,Man City
Cardiff City,0,0,Newcastle United
Everton,2,1,Southampton
Leicester City,2,0,Wolves
Spurs,3,1,Fulham
West Ham,1,2,Bournemouth
Chelsea,3,2,Arsenal
Burnley,1,3,Watford
Man City,6,1,Huddersfield Town
Brighton,3,2,Man Utd
Crystal Palace,0,2,Liverpool
Wolves,1,1,Man City
Arsenal,3,1,West Ham
Bournemouth,2,2,Everton
Huddersfield Town,0,0,Cardiff City
Southampton,1,2,Leicester City
Liverpool,1,0,Brighton
Watford,2,1,Crystal Palace
Fulham,4,2,Burnley
Newcastle United,1,2,Chelsea
Man Utd,0,3,Spurs
Leicester City,1,2,Liverpool
Brighton,2,2,Fulham
Chelsea,2,0,Bournemouth
Crystal Palace,0,2,Southampton
Everton,1,1,Huddersfield Town
West Ham,0,1,Wolves
Man City,2,1,Newcastle United
Cardiff City,2,3,Arsenal
Burnley,0,2,Man Utd
Watford,2,1,Spurs
Spurs,1,2,Liverpool
Bournemouth,4,2,Leicester City
Chelsea,4,1,Cardiff City
Huddersfield Town,0,1,Crystal Palace
Man City,3,0,Fulham
Newcastle United,1,2,Arsenal
Watford,1,2,Man Utd
Wolves,1,0,Burnley
Everton,1,3,West Ham
Southampton,2,2,Brighton
Fulham,1,1,Watford
Burnley,4,0,Bournemouth
Cardiff City,0,5,Man City
Crystal Palace,0,0,Newcastle United
Leicester City,3,1,Huddersfield Town
Liverpool,3,0,Southampton
Man Utd,1,1,Wolves
Brighton,1,2,Spurs
West Ham,0,0,Chelsea
Arsenal,2,0,Everton
West Ham,3,1,Man Utd
Arsenal,2,0,Watford
Everton,3,0,Fulham
Huddersfield Town,0,2,Spurs
Man City,2,0,Brighton
Newcastle United,0,2,Leicester City
Wolves,2,0,Southampton
Chelsea,1,1,Liverpool
Cardiff City,1,2,Burnley
Bournemouth,2,1,Crystal Palace
Brighton,1,0,West Ham
Burnley,1,1,Huddersfield Town
Crystal Palace,0,1,Wolves
Leicester City,1,2,Everton
Spurs,1,0,Cardiff City
Watford,0,4,Bournemouth
Man Utd,3,2,Newcastle United
Fulham,1,5,Arsenal
Southampton,0,3,Chelsea
Liverpool,0,0,Man City
Chelsea,2,2,Man Utd
Bournemouth,0,0,Southampton
Cardiff City,4,2,Fulham
Man City,5,0,Burnley
Newcastle United,0,1,Brighton
West Ham,0,1,Spurs
Wolves,0,2,Watford
Huddersfield Town,0,1,Liverpool
Everton,2,0,Crystal Palace
Arsenal,3,1,Leicester City
Brighton,1,0,Wolves
Fulham,0,3,Bournemouth
Liverpool,4,1,Cardiff City
Southampton,0,0,Newcastle United
Watford,3,0,Huddersfield Town
Leicester City,1,1,West Ham
Burnley,0,4,Chelsea
Crystal Palace,2,2,Arsenal
Man Utd,2,1,Everton
Spurs,0,1,Man City
Bournemouth,1,2,Man Utd
Cardiff City,0,1,Leicester City
Everton,3,1,Brighton
Newcastle United,1,0,Watford
West Ham,4,2,Burnley
Arsenal,1,1,Liverpool
Wolves,2,3,Spurs
Man City,6,1,Southampton
Chelsea,3,1,Crystal Palace
Huddersfield Town,1,0,Fulham
Cardiff City,2,1,Brighton
Huddersfield Town,1,1,West Ham
Leicester City,0,0,Burnley
Newcastle United,2,1,Bournemouth
Southampton,1,1,Watford
Crystal Palace,0,1,Spurs
Liverpool,2,0,Fulham
Chelsea,0,0,Everton
Arsenal,1,1,Wolves
Man City,3,1,Man Utd
Brighton,1,1,Leicester City
Everton,1,0,Cardiff City
Fulham,3,2,Southampton
Man Utd,0,0,Crystal Palace
Watford,0,3,Liverpool
West Ham,0,4,Man City
Spurs,3,1,Chelsea
Bournemouth,1,2,Arsenal
Wolves,0,2,Huddersfield Town
Burnley,1,2,Newcastle United
Cardiff City,2,1,Wolves
Crystal Palace,2,0,Burnley
Huddersfield Town,1,2,Brighton
Leicester City,2,0,Watford
Man City,3,1,Bournemouth
Newcastle United,0,3,West Ham
Southampton,2,2,Man Utd
Chelsea,2,0,Fulham
Arsenal,4,2,Spurs
Liverpool,1,0,Everton
Bournemouth,2,1,Huddersfield Town
Brighton,3,1,Crystal Palace
West Ham,3,1,Cardiff City
Watford,1,2,Man City
Burnley,1,3,Liverpool
Everton,1,1,Newcastle United
Fulham,1,1,Leicester City
Wolves,2,1,Chelsea
Man Utd,2,2,Arsenal
Spurs,3,1,Southampton
Bournemouth,0,4,Liverpool
Arsenal,1,0,Huddersfield Town
Burnley,1,0,Brighton
Cardiff City,1,0,Southampton
Man Utd,4,1,Fulham
West Ham,3,2,Crystal Palace
Chelsea,2,0,Man City
Leicester City,0,2,Spurs
Newcastle United,1,2,Wolves
Everton,2,2,Watford
Man City,3,1,Everton
Crystal Palace,1,0,Leicester City
Huddersfield Town,0,1,Newcastle United
Spurs,1,0,Burnley
Watford,3,2,Cardiff City
Wolves,2,0,Bournemouth
Fulham,0,2,West Ham
Brighton,1,2,Chelsea
Southampton,3,2,Arsenal
Liverpool,3,1,Man Utd
Wolves,0,2,Liverpool
Arsenal,3,1,Burnley
Bournemouth,2,0,Brighton
Chelsea,0,1,Leicester City
Huddersfield Town,1,3,Southampton
Man City,2,3,Crystal Palace
Newcastle United,0,0,Fulham
West Ham,0,2,Watford
Cardiff City,1,5,Man Utd
Everton,2,6,Spurs
Fulham,1,1,Wolves
Burnley,1,5,Everton
Crystal Palace,0,0,Cardiff City
Leicester City,2,1,Man City
Liverpool,4,0,Newcastle United
Man Utd,3,1,Huddersfield Town
Spurs,5,0,Bournemouth
Brighton,1,1,Arsenal
Watford,1,2,Chelsea
Southampton,1,2,West Ham
Brighton,1,0,Everton
Fulham,1,0,Huddersfield Town
Leicester City,0,1,Cardiff City
Spurs,1,3,Wolves
Watford,1,1,Newcastle United
Liverpool,5,1,Arsenal
Crystal Palace,0,1,Chelsea
Burnley,2,0,West Ham
Southampton,1,3,Man City
Man Utd,4,1,Bournemouth
Everton,0,1,Leicester City
Arsenal,4,1,Fulham
Cardiff City,0,3,Spurs
Bournemouth,3,3,Watford
Chelsea,0,0,Southampton
Huddersfield Town,1,2,Burnley
West Ham,2,2,Brighton
Wolves,0,2,Crystal Palace
Newcastle United,0,2,Man Utd
Man City,2,1,Liverpool
West Ham,1,0,Arsenal
Brighton,0,1,Liverpool
Burnley,2,1,Fulham
Cardiff City,0,0,Huddersfield Town
Crystal Palace,1,2,Watford
Leicester City,1,2,Southampton
Chelsea,2,1,Newcastle United
Everton,2,0,Bournemouth
Spurs,0,1,Man Utd
Man City,3,0,Wolves
Wolves,4,3,Leicester City
Bournemouth,2,0,West Ham
Liverpool,4,3,Crystal Palace
Man Utd,2,1,Brighton
Newcastle United,3,0,Cardiff City
Southampton,2,1,Everton
Watford,0,0,Burnley
Arsenal,2,0,Chelsea
Huddersfield Town,0,3,Man City
Fulham,1,2,Spurs
Arsenal,2,1,Cardiff City
Fulham,4,2,Brighton
Huddersfield Town,0,1,Everton
Wolves,3,0,West Ham
Man Utd,2,2,Burnley
Newcastle United,2,1,Man City
Bournemouth,4,0,Chelsea
Southampton,1,1,Crystal Palace
Liverpool,1,1,Leicester City
Spurs,2,1,Watford
Spurs,1,0,Newcastle United
Brighton,0,0,Watford
Burnley,1,1,Southampton
Chelsea,5,0,Huddersfield Town
Crystal Palace,2,0,Fulham
Everton,1,3,Wolves
Cardiff City,2,0,Bournemouth
Leicester City,0,1,Man Utd
Man City,3,1,Arsenal
West Ham,1,1,Liverpool
Everton,0,2,Man City
Fulham,0,3,Man Utd
Crystal Palace,1,1,West Ham
Huddersfield Town,1,2,Arsenal
Liverpool,3,0,Bournemouth
Southampton,1,2,Cardiff City
Watford,1,0,Everton
Brighton,1,3,Burnley
Spurs,3,1,Leicester City
Man City,6,0,Chelsea
Wolves,1,1,Newcastle United
Cardiff City,1,5,Watford
West Ham,3,1,Fulham
Burnley,2,1,Spurs
Bournemouth,1,1,Wolves
Newcastle United,2,0,Huddersfield Town
Leicester City,1,4,Crystal Palace
Arsenal,2,0,Southampton
Man Utd,0,0,Liverpool
Cardiff City,0,3,Everton
Huddersfield Town,1,0,Wolves
Leicester City,2,1,Brighton
Newcastle United,2,0,Burnley
Arsenal,5,1,Bournemouth
Southampton,2,0,Fulham
Chelsea,2,0,Spurs
Crystal Palace,1,3,Man Utd
Liverpool,5,0,Watford
Man City,1,0,West Ham
Spurs,1,1,Arsenal
Bournemouth,0,1,Man City
Brighton,1,0,Huddersfield Town
Burnley,1,3,Crystal Palace
Man Utd,3,2,Southampton
Wolves,2,0,Cardiff City
West Ham,2,0,Newcastle United
Watford,2,1,Leicester City
Fulham,1,2,Chelsea
Everton,0,0,Liverpool
Crystal Palace,1,2,Brighton
Cardiff City,2,0,West Ham
Huddersfield Town,0,2,Bournemouth
Leicester City,3,1,Fulham
Newcastle United,3,2,Everton
Southampton,2,1,Spurs
Man City,3,1,Watford
Liverpool,4,2,Burnley
Chelsea,1,1,Wolves
Arsenal,2,0,Man Utd
Bournemouth,2,2,Newcastle United
Burnley,1,2,Leicester City
West Ham,4,3,Huddersfield Town
Fulham,1,2,Liverpool
Everton,2,0,Chelsea
Fulham,0,2,Man City
Brighton,0,1,Southampton
Burnley,2,0,Wolves
Crystal Palace,2,0,Huddersfield Town
Leicester City,2,0,Bournemouth
Man Utd,2,1,Watford
West Ham,0,2,Everton
Cardiff City,1,2,Chelsea
Liverpool,2,1,Spurs
Arsenal,2,0,Newcastle United
Watford,4,1,Fulham
Wolves,2,1,Man Utd
Chelsea,3,0,Brighton
Man City,2,0,Cardiff City
Spurs,2,0,Crystal Palace
Southampton,1,3,Liverpool
Bournemouth,1,3,Burnley
Huddersfield Town,1,4,Leicester City
Newcastle United,0,1,Crystal Palace
Everton,1,0,Arsenal
Chelsea,2,0,West Ham
Leicester City,0,1,Newcastle United
Spurs,4,0,Huddersfield Town
Brighton,0,5,Bournemouth
Burnley,2,0,Cardiff City
Fulham,2,0,Everton
Southampton,3,1,Wolves
Man Utd,2,1,West Ham
Crystal Palace,1,3,Man City
Liverpool,2,0,Chelsea
Watford,0,1,Arsenal
Brighton,0,2,Cardiff City
Man City,1,0,Spurs
Bournemouth,0,1,Fulham
Huddersfield Town,1,2,Watford
West Ham,2,2,Leicester City
Wolves,0,0,Brighton
Newcastle United,3,1,Southampton
Everton,4,0,Man Utd
Arsenal,2,3,Crystal Palace
Cardiff City,0,2,Liverpool
Chelsea,2,2,Burnley
Spurs,1,0,Brighton
Watford,1,1,Southampton
Wolves,3,1,Arsenal
Man Utd,0,2,Man City
Liverpool,5,0,Huddersfield Town
Spurs,0,1,West Ham
Crystal Palace,0,0,Everton
Fulham,1,0,Cardiff City
Southampton,3,3,Bournemouth
Watford,1,2,Wolves
Brighton,1,1,Newcastle United
Leicester City,3,0,Arsenal
Burnley,0,1,Man City
Man Utd,1,1,Chelsea
Everton,2,0,Burnley
Bournemouth,1,0,Spurs
West Ham,3,0,Southampton
Wolves,1,0,Fulham
Cardiff City,2,3,Crystal Palace
Newcastle United,2,3,Liverpool
Chelsea,3,0,Watford
Huddersfield Town,1,1,Man Utd
Arsenal,1,1,Brighton
Man City,1,0,Leicester City
Brighton,1,4,Man City
Burnley,1,3,Arsenal
Crystal Palace,5,3,Bournemouth
Fulham,0,4,Newcastle United
Leicester City,0,0,Chelsea
Liverpool,2,0,Wolves
Man Utd,0,2,Cardiff City
Southampton,1,1,Huddersfield Town
Spurs,2,2,Everton
Watford,1,4,West Ham
